"Código do Município","Nome do Município","Código da UF","Unidade da Federação","Região","Ioeb","Ano do Ioeb","Insumos do Ioeb","Resultados do Ioeb","Total de Matrículas","População","Categoria do Quadrante"
"3304904","São Gonçalo","33","RJ","Sudeste","4,4","2023","1,0","3,4","143.887","1.084.839","EM DESENVOLVIMENTO"
"3305208","São Pedro da Aldeia","33","RJ","Sudeste","4,4","2023","1,0","3,5","25.230","104.476","EM DESENVOLVIMENTO"
"3305604","Silva Jardim","33","RJ","Sudeste","4,4","2023","1,1","3,3","5.408","21.774","CRÍTICO"
"3306107","Valença","33","RJ","Sudeste","4,4","2023","1,1","3,3","15.330","76.523","CRÍTICO"
"3303500","Nova Iguaçu","33","RJ","Sudeste","4,3","2023","1,0","3,3","177.623","821.128","CRÍTICO"
"3303609","Paracambi","33","RJ","Sudeste","4,3","2023","1,0","3,3","9.041","52.257","CRÍTICO"
"3306156","Varre-Sai","33","RJ","Sudeste","4,3","2023","1,0","3,4","2.404","11.000","CRÍTICO"
"3300456","Belford Roxo","33","RJ","Sudeste","4,2","2023","0,9","3,3","88.885","510.906","EM DESENVOLVIMENTO"
"3301702","Duque de Caxias","33","RJ","Sudeste","4,2","2023","1,0","3,2","190.087","919.596","CRÍTICO"
"3304607","Santa Maria Madalena","33","RJ","Sudeste","4,2","2023","1,1","3,1","1.983","10.404","CRÍTICO"
"3305109","São João de Meriti","33","RJ","Sudeste","4,2","2023","1,0","3,2","84.769","472.406","CRÍTICO"
"3302270","Japeri","33","RJ","Sudeste","4,0","2023","0,8","3,3","22.164","104.768","EM DESENVOLVIMENTO"
"3300225","Areal","33","RJ","Sudeste","0,0","2023","1,1","0,0","2.449","12.572","ND"
"3300233","Armação dos Búzios","33","RJ","Sudeste","0,0","2023","0,0","0,0","10.484","40.532","ND"
"3300258","Arraial do Cabo","33","RJ","Sudeste","0,0","2023","1,0","0,0","8.469","30.349","ND"
"3301876","Iguaba Grande","33","RJ","Sudeste","0,0","2023","1,0","0,0","7.431","28.310","ND"
"3305000","São João da Barra","33","RJ","Sudeste","0,0","2023","1,1","0,0","11.357","36.102","ND"
"3305554","Seropédica","33","RJ","Sudeste","0,0","2023","1,0","0,0","19.801","82.312","ND"
