"Código do Município","Nome do Município","Código da UF","Unidade da Federação","Região","Ioeb","Ano do Ioeb","Insumos do Ioeb","Resultados do Ioeb","Total de Matrículas","População","Categoria do Quadrante"
"3302601","Mangaratiba","33","RJ","Sudeste","4,4","2023","0,9","3,5","10.338","44.468","CRÍTICO"
"3302700","Maricá","33","RJ","Sudeste","4,5","2019","1,1","3,5","29.071","161.207",""
"3302700","Maricá","33","RJ","Sudeste","5,0","2021","1,1","3,8","32.808","161.207",""
"3302700","Maricá","33","RJ","Sudeste","4,9","2023","1,2","3,7","41.070","161.207","EM DESENVOLVIMENTO"
"3302809","Mendes","33","RJ","Sudeste","4,5","2019","1,0","3,5","3.176","18.614",""
"3302809","Mendes","33","RJ","Sudeste","4,6","2021","1,2","3,5","3.224","18.614",""
"3302809","Mendes","33","RJ","Sudeste","4,7","2023","1,1","3,6","3.301","18.614","CRÍTICO"
"3302858","Mesquita","33","RJ","Sudeste","4,0","2019","1,1","2,9","28.780","176.103",""
"3302858","Mesquita","33","RJ","Sudeste","4,1","2021","1,0","3,1","28.642","176.103",""
"3302858","Mesquita","33","RJ","Sudeste","4,5","2023","1,1","3,4","34.581","176.103","EM DESENVOLVIMENTO"
"3302908","Miguel Pereira","33","RJ","Sudeste","4,9","2019","1,1","3,8","5.229","25.538",""
"3302908","Miguel Pereira","33","RJ","Sudeste","4,8","2021","1,1","3,7","5.094","25.538",""
"3302908","Miguel Pereira","33","RJ","Sudeste","4,8","2023","1,2","3,7","5.576","25.538","CRÍTICO"
"3303005","Miracema","33","RJ","Sudeste","4,9","2019","1,1","3,9","6.011","27.174",""
"3303005","Miracema","33","RJ","Sudeste","5,1","2021","0,8","4,3","5.679","27.174",""
"3303005","Miracema","33","RJ","Sudeste","5,2","2023","0,9","4,3","5.735","27.174","OTIMIZADO"
"3303104","Natividade","33","RJ","Sudeste","4,1","2019","1,0","3,1","2.975","15.317",""
"3303104","Natividade","33","RJ","Sudeste","4,2","2021","0,7","3,5","2.963","15.317",""
"3303104","Natividade","33","RJ","Sudeste","4,6","2023","0,8","3,7","2.891","15.317","EM DESENVOLVIMENTO"
"3303203","Nilópolis","33","RJ","Sudeste","4,1","2019","1,1","3,0","33.942","162.485",""
"3303203","Nilópolis","33","RJ","Sudeste","4,3","2021","1,1","3,3","33.267","162.485",""
"3303203","Nilópolis","33","RJ","Sudeste","4,5","2023","1,0","3,5","34.568","162.485","EM DESENVOLVIMENTO"
"3303302","Niterói","33","RJ","Sudeste","4,7","2019","1,2","3,5","89.070","513.584",""
"3303302","Niterói","33","RJ","Sudeste","4,5","2021","1,0","3,4","89.171","513.584",""
"3303302","Niterói","33","RJ","Sudeste","4,6","2023","1,0","3,6","97.682","513.584","CRÍTICO"
"3303401","Nova Friburgo","33","RJ","Sudeste","4,9","2019","1,1","3,8","37.078","190.631",""
"3303401","Nova Friburgo","33","RJ","Sudeste","4,8","2021","0,9","3,9","36.467","190.631",""
"3303401","Nova Friburgo","33","RJ","Sudeste","4,6","2023","0,9","3,6","38.445","190.631","CRÍTICO"
"3303500","Nova Iguaçu","33","RJ","Sudeste","4,1","2019","1,1","3,1","160.222","821.128",""
"3303500","Nova Iguaçu","33","RJ","Sudeste","4,1","2021","0,9","3,2","161.995","821.128",""
"3303500","Nova Iguaçu","33","RJ","Sudeste","4,3","2023","1,0","3,3","177.623","821.128","CRÍTICO"
"3303609","Paracambi","33","RJ","Sudeste","4,4","2019","1,0","3,3","8.363","52.257",""
"3303609","Paracambi","33","RJ","Sudeste","4,3","2021","0,9","3,4","8.318","52.257",""
"3303609","Paracambi","33","RJ","Sudeste","4,3","2023","1,0","3,3","9.041","52.257","CRÍTICO"
"3303708","Paraíba do Sul","33","RJ","Sudeste","4,5","2019","1,2","3,4","9.066","44.285",""
"3303708","Paraíba do Sul","33","RJ","Sudeste","4,9","2021","1,2","3,7","8.607","44.285",""
"3303708","Paraíba do Sul","33","RJ","Sudeste","4,9","2023","1,2","3,7","9.121","44.285","EM DESENVOLVIMENTO"
"3303807","Paraty","33","RJ","Sudeste","0,0","2019","1,1","0,0","9.459","43.165",""
"3303807","Paraty","33","RJ","Sudeste","4,7","2021","1,1","3,6","10.213","43.165",""
"3303807","Paraty","33","RJ","Sudeste","4,7","2023","1,1","3,6","10.543","43.165","ND"
"3303856","Paty do Alferes","33","RJ","Sudeste","5,1","2019","1,0","4,1","5.577","27.769",""
"3303856","Paty do Alferes","33","RJ","Sudeste","5,2","2021","1,2","4,0","5.426","27.769",""
"3303856","Paty do Alferes","33","RJ","Sudeste","4,9","2023","1,1","3,8","5.792","27.769","CRÍTICO"
"3303906","Petrópolis","33","RJ","Sudeste","4,7","2019","1,2","3,5","60.830","306.191",""
"3303906","Petrópolis","33","RJ","Sudeste","4,6","2021","1,2","3,4","59.498","306.191",""
"3303906","Petrópolis","33","RJ","Sudeste","4,6","2023","1,2","3,4","63.680","306.191","CRÍTICO"
"3303955","Pinheiral","33","RJ","Sudeste","4,8","2019","1,1","3,8","5.397","25.156",""
"3303955","Pinheiral","33","RJ","Sudeste","4,4","2021","1,1","3,3","5.603","25.156",""
"3303955","Pinheiral","33","RJ","Sudeste","4,8","2023","1,0","3,8","5.661","25.156","CRÍTICO"
"3304003","Piraí","33","RJ","Sudeste","4,6","2019","1,1","3,5","5.950","29.277",""
"3304003","Piraí","33","RJ","Sudeste","4,6","2021","1,0","3,6","5.986","29.277",""
"3304003","Piraí","33","RJ","Sudeste","4,9","2023","1,1","3,8","6.192","29.277","EM DESENVOLVIMENTO"
"3304102","Porciúncula","33","RJ","Sudeste","4,4","2019","1,1","3,3","3.851","18.847",""
"3304102","Porciúncula","33","RJ","Sudeste","4,6","2021","1,2","3,4","3.601","18.847",""
"3304102","Porciúncula","33","RJ","Sudeste","4,6","2023","1,1","3,5","3.588","18.847","CRÍTICO"
"3304110","Porto Real","33","RJ","Sudeste","4,3","2019","1,0","3,3","4.123","19.683",""
"3304110","Porto Real","33","RJ","Sudeste","4,6","2021","1,0","3,6","4.091","19.683",""
"3304110","Porto Real","33","RJ","Sudeste","4,7","2023","1,0","3,7","4.277","19.683","EM DESENVOLVIMENTO"
"3304128","Quatis","33","RJ","Sudeste","4,5","2019","1,0","3,5","2.856","14.302",""
"3304128","Quatis","33","RJ","Sudeste","4,8","2021","1,1","3,7","2.784","14.302",""
"3304128","Quatis","33","RJ","Sudeste","4,9","2023","1,1","3,8","2.763","14.302","EM DESENVOLVIMENTO"
"3304144","Queimados","33","RJ","Sudeste","4,2","2019","1,0","3,2","32.155","150.319",""
"3304144","Queimados","33","RJ","Sudeste","4,6","2021","1,1","3,6","30.751","150.319",""
"3304144","Queimados","33","RJ","Sudeste","4,7","2023","1,0","3,7","33.597","150.319","EM DESENVOLVIMENTO"
"3304151","Quissamã","33","RJ","Sudeste","4,5","2019","1,1","3,5","5.196","24.700",""
"3304151","Quissamã","33","RJ","Sudeste","4,9","2021","1,1","3,8","5.300","24.700",""
"3304151","Quissamã","33","RJ","Sudeste","4,9","2023","1,2","3,7","5.895","24.700","EM DESENVOLVIMENTO"
"3304201","Resende","33","RJ","Sudeste","4,5","2019","1,1","3,5","26.917","131.341",""
"3304201","Resende","33","RJ","Sudeste","4,8","2021","1,2","3,6","27.195","131.341",""
"3304201","Resende","33","RJ","Sudeste","5,2","2023","1,2","3,9","29.748","131.341","OTIMIZADO"
"3304300","Rio Bonito","33","RJ","Sudeste","4,0","2019","1,0","3,1","12.211","60.201",""
"3304300","Rio Bonito","33","RJ","Sudeste","4,4","2021","1,1","3,2","11.509","60.201",""
"3304300","Rio Bonito","33","RJ","Sudeste","4,5","2023","1,1","3,5","12.094","60.201","EM DESENVOLVIMENTO"
"3304409","Rio Claro","33","RJ","Sudeste","4,6","2019","1,0","3,6","3.495","18.529",""
"3304409","Rio Claro","33","RJ","Sudeste","4,5","2021","1,1","3,3","3.584","18.529",""
"3304409","Rio Claro","33","RJ","Sudeste","4,7","2023","1,1","3,6","3.705","18.529","CRÍTICO"
"3304508","Rio das Flores","33","RJ","Sudeste","4,1","2019","0,9","3,1","1.936","9.284",""
"3304508","Rio das Flores","33","RJ","Sudeste","4,5","2021","1,0","3,5","1.992","9.284",""
"3304508","Rio das Flores","33","RJ","Sudeste","4,9","2023","1,2","3,7","2.071","9.284","EM DESENVOLVIMENTO"
"3304524","Rio das Ostras","33","RJ","Sudeste","4,8","2019","1,0","3,7","30.794","150.674",""
"3304524","Rio das Ostras","33","RJ","Sudeste","5,2","2021","1,1","4,2","32.234","150.674",""
"3304524","Rio das Ostras","33","RJ","Sudeste","5,4","2023","1,0","4,3","35.555","150.674","OTIMIZADO"
"3304557","Rio de Janeiro","33","RJ","Sudeste","5,1","2019","1,2","3,9","1.200.000","6.718.903",""
"3304557","Rio de Janeiro","33","RJ","Sudeste","5,2","2021","1,2","4,1","1.200.000","6.718.903",""
"3304557","Rio de Janeiro","33","RJ","Sudeste","5,2","2023","1,2","4,1","1.279.679","6.718.903","ATENÇÃO"
"3304607","Santa Maria Madalena","33","RJ","Sudeste","4,0","2019","0,9","3,1","1.714","10.404",""
"3304607","Santa Maria Madalena","33","RJ","Sudeste","4,9","2021","1,1","3,8","1.731","10.404",""
"3304607","Santa Maria Madalena","33","RJ","Sudeste","4,2","2023","1,1","3,1","1.983","10.404","CRÍTICO"
"3304706","Santo Antônio de Pádua","33","RJ","Sudeste","4,9","2019","1,1","3,8","8.524","42.479",""
"3304706","Santo Antônio de Pádua","33","RJ","Sudeste","5,2","2021","1,0","4,2","8.117","42.479",""
"3304706","Santo Antônio de Pádua","33","RJ","Sudeste","5,1","2023","0,9","4,2","8.859","42.479","OTIMIZADO"
"3304755","São Francisco de Itabapoana","33","RJ","Sudeste","3,8","2019","0,9","2,9","10.392","42.205",""
"3304755","São Francisco de Itabapoana","33","RJ","Sudeste","4,3","2021","0,9","3,4","10.443","42.205",""
"3304755","São Francisco de Itabapoana","33","RJ","Sudeste","4,5","2023","1,1","3,5","11.204","42.205","EM DESENVOLVIMENTO"
"3304805","São Fidélis","33","RJ","Sudeste","4,3","2019","1,0","3,3","7.289","38.669",""
"3304805","São Fidélis","33","RJ","Sudeste","4,5","2021","0,9","3,6","7.078","38.669",""
"3304805","São Fidélis","33","RJ","Sudeste","4,7","2023","1,0","3,8","8.126","38.669","EM DESENVOLVIMENTO"
"3304904","São Gonçalo","33","RJ","Sudeste","4,0","2019","1,1","2,8","146.276","1.084.839",""
"3304904","São Gonçalo","33","RJ","Sudeste","4,1","2021","1,0","3,1","141.454","1.084.839",""
"3304904","São Gonçalo","33","RJ","Sudeste","4,4","2023","1,0","3,4","143.887","1.084.839","EM DESENVOLVIMENTO"
"3305000","São João da Barra","33","RJ","Sudeste","4,5","2019","1,0","3,5","9.237","36.102",""
"3305000","São João da Barra","33","RJ","Sudeste","4,9","2021","1,1","3,8","9.397","36.102",""
"3305000","São João da Barra","33","RJ","Sudeste","0,0","2023","1,1","0,0","11.357","36.102","ND"
"3305109","São João de Meriti","33","RJ","Sudeste","4,1","2019","1,1","3,0","85.068","472.406",""
"3305109","São João de Meriti","33","RJ","Sudeste","4,1","2021","0,9","3,2","84.711","472.406",""
"3305109","São João de Meriti","33","RJ","Sudeste","4,2","2023","1,0","3,2","84.769","472.406","CRÍTICO"
"3305133","São José de Ubá","33","RJ","Sudeste","5,0","2019","1,1","3,9","1.321","7.171",""
"3305133","São José de Ubá","33","RJ","Sudeste","4,8","2021","0,9","3,9","1.285","7.171",""
"3305133","São José de Ubá","33","RJ","Sudeste","4,8","2023","1,0","3,8","1.413","7.171","CRÍTICO"
"3305158","São José do Vale do Rio Preto","33","RJ","Sudeste","0,0","2019","0,0","0,0","3.757","21.795",""
"3305158","São José do Vale do Rio Preto","33","RJ","Sudeste","4,7","2021","1,0","3,6","3.849","21.795",""
"3305158","São José do Vale do Rio Preto","33","RJ","Sudeste","4,8","2023","1,1","3,7","3.849","21.795","ND"
"3305208","São Pedro da Aldeia","33","RJ","Sudeste","4,1","2019","1,0","3,1","21.630","104.476",""
"3305208","São Pedro da Aldeia","33","RJ","Sudeste","4,3","2021","1,1","3,2","22.603","104.476",""
"3305208","São Pedro da Aldeia","33","RJ","Sudeste","4,4","2023","1,0","3,5","25.230","104.476","EM DESENVOLVIMENTO"
"3305307","São Sebastião do Alto","33","RJ","Sudeste","4,3","2019","0,9","3,4","1.554","9.357",""
"3305307","São Sebastião do Alto","33","RJ","Sudeste","4,7","2021","1,2","3,6","1.533","9.357",""
"3305307","São Sebastião do Alto","33","RJ","Sudeste","4,8","2023","1,1","3,7","1.493","9.357","EM DESENVOLVIMENTO"
"3305406","Sapucaia","33","RJ","Sudeste","4,7","2019","1,1","3,6","3.777","18.228",""
"3305406","Sapucaia","33","RJ","Sudeste","4,9","2021","1,1","3,8","3.837","18.228",""
"3305406","Sapucaia","33","RJ","Sudeste","5,0","2023","1,2","3,8","4.709","18.228","EM DESENVOLVIMENTO"
"3305505","Saquarema","33","RJ","Sudeste","4,3","2019","1,0","3,3","17.706","89.170",""
"3305505","Saquarema","33","RJ","Sudeste","4,8","2021","1,1","3,7","19.379","89.170",""
"3305505","Saquarema","33","RJ","Sudeste","4,9","2023","1,1","3,9","20.210","89.170","EM DESENVOLVIMENTO"
"3305554","Seropédica","33","RJ","Sudeste","3,8","2019","1,0","2,8","18.681","82.312",""
"3305554","Seropédica","33","RJ","Sudeste","4,3","2021","1,0","3,3","18.172","82.312",""
"3305554","Seropédica","33","RJ","Sudeste","0,0","2023","1,0","0,0","19.801","82.312","ND"
"3305604","Silva Jardim","33","RJ","Sudeste","4,3","2019","1,1","3,2","5.100","21.774",""
"3305604","Silva Jardim","33","RJ","Sudeste","4,5","2021","1,1","3,5","4.794","21.774",""
"3305604","Silva Jardim","33","RJ","Sudeste","4,4","2023","1,1","3,3","5.408","21.774","CRÍTICO"
"3305703","Sumidouro","33","RJ","Sudeste","4,9","2019","0,9","4,0","2.821","15.623",""
"3305703","Sumidouro","33","RJ","Sudeste","4,5","2021","0,9","3,6","2.779","15.623",""
"3305703","Sumidouro","33","RJ","Sudeste","4,8","2023","1,1","3,7","2.798","15.623","CRÍTICO"
"3305752","Tanguá","33","RJ","Sudeste","4,1","2019","1,0","3,1","6.689","34.309",""
"3305752","Tanguá","33","RJ","Sudeste","4,3","2021","1,1","3,2","6.669","34.309",""
"3305752","Tanguá","33","RJ","Sudeste","4,6","2023","1,1","3,5","7.027","34.309","EM DESENVOLVIMENTO"
"3305802","Teresópolis","33","RJ","Sudeste","0,0","2019","0,0","0,0","34.063","182.594",""
"3305802","Teresópolis","33","RJ","Sudeste","5,0","2021","1,2","3,9","33.748","182.594",""
"3305802","Teresópolis","33","RJ","Sudeste","4,9","2023","1,2","3,8","39.210","182.594","ND"
